Skill Name,Salary Premium,Skill Frequency,Averege job postings duration (days),Difficulty to fill in the market,Difficulty,GROWTH PROJECTION 
Content Engineering,56497.988044,0.00%,29.187123,6.52%,High difficulty to fill,3.92%
Endoscopic Foreign Body Retrieval,63223.387367,0.00%,29.744815,7.44%,High difficulty to fill,-11.11%
Aerial Surveys,5842.915832,0.00%,31.483117,0.73%,Low difficulty to fill,2.17%
Abdominal Ultrasonography,20446.748398,0.00%,30.006897,2.43%,Low difficulty to fill,12.50%
Safety Science,43136.304957,0.01%,29.715795,5.07%,Medium difficulty to fill,0.93%
Legibility,0,0.00%,29.880342,0.00%,Low difficulty to fill,-1.89%
Paint Sprayers,0,0.01%,32.317138,0.00%,Low difficulty to fill,-2.17%
Videonystagmography,50738.168868,0.00%,31.634036,6.38%,High difficulty to fill,10.20%
Amalgam,553.433907,0.01%,28.153612,0.06%,Low difficulty to fill,-25.00%
Embroidery Machine Operation,0,0.01%,32.704587,0.00%,Low difficulty to fill,-0.46%
Scuba Diving,0,0.00%,31.042827,0.00%,Low difficulty to fill,-2.94%
Activity Diagram,59100.780316,0.00%,28.191671,6.57%,High difficulty to fill,0.49%
Cisco DNA Center,48392.731936,0.00%,28.257799,5.39%,Medium difficulty to fill,9.49%
MapR (Big Data),67421.198177,0.00%,23.60637,6.18%,High difficulty to fill,2.22%
Manufacturing Resource Planning,13230.93973,0.01%,29.673955,1.55%,Low difficulty to fill,1.64%
Chart Director,25027.011454,0.00%,27.687166,2.73%,Low difficulty to fill,-25.00%
User Registration,33835.407103,0.00%,29.850667,4.00%,Medium difficulty to fill,25.00%
Vicarious Traumatization,0,0.00%,33.816667,0.00%,Low difficulty to fill,5.71%
Jobvite,7383.047789,0.01%,29.508974,0.86%,Low difficulty to fill,-11.39%
Backlinks,4361.203841,0.00%,29.980213,0.52%,Low difficulty to fill,5.36%
Ion Chromatography,0,0.00%,29.542132,0.00%,Low difficulty to fill,0.00%
MSTest,55300.962672,0.00%,26.225742,5.68%,High difficulty to fill,-2.89%
Dirty Data,56722.047487,0.00%,26.788462,5.97%,High difficulty to fill,0.00%
Fault Management,50144.308053,0.01%,28.838634,5.71%,High difficulty to fill,1.93%
Phylogenetics,28104.503822,0.00%,30.346505,3.38%,Medium difficulty to fill,7.32%
Chunking,16484.75717,0.00%,36.036585,2.38%,Low difficulty to fill,0.00%
CAN Bus,48610.566564,0.00%,29.12648,5.60%,High difficulty to fill,2.78%
Changeset,58283.279807,0.00%,25.555556,5.83%,High difficulty to fill,0.00%
Monetary Policies,58953.785992,0.00%,30.604651,7.16%,High difficulty to fill,-4.25%
Tokenization,94630.289388,0.01%,28.772221,10.75%,High difficulty to fill,4.50%
Isolation Ward,19201.782281,0.00%,32.065359,2.45%,Low difficulty to fill,-4.17%
Catalogues,0,0.00%,32.256744,0.00%,Low difficulty to fill,-3.51%
Porcine Animal Care,0,0.00%,33.2375,0.00%,Low difficulty to fill,-15.79%
Microbial Ecology,8716.694422,0.00%,30.778274,1.06%,Low difficulty to fill,6.49%
Metropolitan Planning Organization (MPO),16750.51022,0.00%,29.896133,1.98%,Low difficulty to fill,-8.93%
Garden Tools,0,0.00%,33.459052,0.00%,Low difficulty to fill,-3.74%
Control Tables,14691.953324,0.00%,28.794776,1.67%,Low difficulty to fill,3.03%
Resource Efficiency,49812.157195,0.01%,31.142113,6.16%,High difficulty to fill,3.24%
Electronic Intelligence,60125.792258,0.00%,29.580999,7.04%,High difficulty to fill,-8.60%
Siemens Desigo,22532.96696,0.00%,31.277705,2.80%,Medium difficulty to fill,-18.64%
LCD Projector,0,0.00%,30.25371,0.00%,Low difficulty to fill,-10.74%
Prospective Payment Systems,16218.801313,0.01%,30.559413,1.97%,Low difficulty to fill,-2.93%
UserTesting.Com,54041.527103,0.00%,29.08528,6.21%,High difficulty to fill,-14.63%
Academic Accommodation Plans,1083.925677,0.00%,32.934608,0.14%,Low difficulty to fill,6.14%
Splunk Enterprise Security,66377.754467,0.00%,27.935562,7.31%,High difficulty to fill,3.57%
Document Engineering,46233.033954,0.00%,28.193472,5.14%,Medium difficulty to fill,6.30%
AUTomotive Open System Architecture (AUTOSAR),59661.111818,0.01%,28.376425,6.68%,High difficulty to fill,-8.56%
MadCap Flare,24150.286805,0.00%,30.240122,2.89%,Medium difficulty to fill,-12.12%
NHibernate,57485.258351,0.00%,27.98956,6.34%,High difficulty to fill,4.69%
High Availability Design,65225.38292,0.00%,27.837416,7.15%,High difficulty to fill,20.00%
Nutrient Management,0,0.00%,30.125623,0.00%,Low difficulty to fill,3.92%
Google Keyword Planner,17187.934733,0.00%,27.672761,1.87%,Low difficulty to fill,-7.41%
Steel Frame,0,0.00%,33.431767,0.00%,Low difficulty to fill,-3.12%
OGRE,19945.992417,0.00%,29.861111,2.36%,Low difficulty to fill,-100.00%
Atlassian OpsGenie,59986.711447,0.00%,28.083451,6.64%,High difficulty to fill,11.63%
Virtual Machine Manager,47959.901508,0.00%,27.022472,5.09%,Medium difficulty to fill,12.50%
Physics Engine,53213.07296,0.00%,28.393939,5.96%,High difficulty to fill,40.00%
Emergency Shutdown,5799.596747,0.00%,31.175241,0.72%,Low difficulty to fill,-4.21%
Economic Geology,12695.063914,0.00%,30.828571,1.55%,Low difficulty to fill,5.56%
Training Workshop,13570.499005,0.00%,30.701417,1.65%,Low difficulty to fill,-0.94%
Policy And Charging Rules Function,58116.484573,0.00%,26.855908,6.13%,High difficulty to fill,31.25%
Marionette.js (Javascript Library),61712.373442,0.00%,30.006369,7.33%,High difficulty to fill,0.00%
Cheese Manufacturing,0,0.00%,32.628571,0.00%,Low difficulty to fill,-17.31%
Custom Object,52801.132467,0.00%,30.692802,6.43%,High difficulty to fill,8.51%
Control Limits,10949.034422,0.00%,29.806936,1.29%,Low difficulty to fill,-4.38%
Entrepreneurial Operating System (EOS),10842.285819,0.00%,33.059334,1.43%,Low difficulty to fill,0.00%
Backup Express,0,0.00%,17.25,0.00%,Low difficulty to fill,0.00%
OBS Studio,13936.3576,0.00%,29.942308,1.65%,Low difficulty to fill,-20.00%
Financial Aid Procedures,0,0.00%,31.869159,0.00%,Low difficulty to fill,-3.12%
Loyalty Marketing,42214.718298,0.00%,28.211137,4.70%,Medium difficulty to fill,-11.70%
Political Action Committee (PAC),19941.996615,0.00%,29.845659,2.36%,Low difficulty to fill,12.33%
IP Flow Information Export,70625.50179,0.00%,27.166667,7.54%,High difficulty to fill,-20.00%
CA Test Data Manager,74730.310599,0.00%,24.347826,7.09%,High difficulty to fill,-50.00%
Performance Fee,43036.327163,0.00%,28.815217,4.90%,Medium difficulty to fill,-4.12%
Clinical Data Exchange,93963.033505,0.00%,29.668367,11.03%,High difficulty to fill,-25.00%
IBM Case Manager,70369.912872,0.00%,22.533898,6.13%,High difficulty to fill,-42.86%
Format Conversion,30339.430029,0.00%,31.60479,3.81%,Medium difficulty to fill,5.26%
Non-Profit Financial Management,29688.700449,0.00%,30.424242,3.58%,Medium difficulty to fill,-7.14%
Pharmacy Law,0,0.00%,30.471521,0.00%,Low difficulty to fill,1.87%
Energetic Materials,31167.534098,0.00%,30.160813,3.72%,Medium difficulty to fill,1.45%
Renewable Energy Markets,45382.284494,0.00%,30.633444,5.51%,Medium difficulty to fill,2.00%
Biophysical Profiles,50517.416727,0.00%,30.803419,6.17%,High difficulty to fill,-6.82%
Figure Drawings,3292.026883,0.00%,33.672098,0.44%,Low difficulty to fill,1.89%
Backbone Network,41628.790328,0.00%,28.176125,4.62%,Medium difficulty to fill,-27.27%
Reservoir Simulation,71055.381622,0.00%,28.668067,8.04%,High difficulty to fill,5.26%
Scanline,0,0.00%,28.325581,0.00%,Low difficulty to fill,-100.00%
Web Crawling,52976.187872,0.00%,29.771588,6.24%,High difficulty to fill,0.00%
Truth Table,17256.470564,0.00%,31.196721,2.14%,Low difficulty to fill,-66.67%
Content Reuse,52557.670794,0.00%,28.770204,5.97%,High difficulty to fill,6.00%
Groundwater Monitoring,10075.195184,0.00%,32.153414,1.29%,Low difficulty to fill,-3.85%
Sailing Instruction,0,0.00%,36.055838,0.00%,Low difficulty to fill,-18.75%
Informatica Data Validation Option,52332.613214,0.00%,22.096386,4.46%,Medium difficulty to fill,-33.33%
Human Communication,10237.761345,0.00%,31.305677,1.27%,Low difficulty to fill,1.92%
DSL Modems,0,0.00%,33.087248,0.00%,Low difficulty to fill,-21.05%
Airport Transportation,0,0.00%,33.979747,0.00%,Low difficulty to fill,-13.33%
Bridge Construction Standards,12434.434149,0.00%,28.510574,1.40%,Low difficulty to fill,2.86%
OpenDJ,69800.017464,0.00%,24.04059,6.53%,High difficulty to fill,-16.67%
Computer Conferencing,0,0.00%,30.267782,0.00%,Low difficulty to fill,6.67%
Mass Flow Controller,12327.188815,0.00%,30.734375,1.50%,Low difficulty to fill,0.00%
Floor Trader,0,0.00%,29.833333,0.00%,Low difficulty to fill,-100.00%
Biological Applications,36863.801386,0.00%,28.983122,4.22%,Medium difficulty to fill,5.88%
Fusion Power,20031.253781,0.00%,28.315385,2.24%,Low difficulty to fill,-20.00%
Password Synchronization,56734.765145,0.00%,22.237113,4.87%,Medium difficulty to fill,-71.43%
Knockout Punches,0,0.00%,29.067039,0.00%,Low difficulty to fill,-12.50%
Unsupervised Learning,80423.467656,0.01%,27.554186,8.72%,High difficulty to fill,-0.47%
Improvement Kata,25932.302023,0.00%,28.776316,2.95%,Medium difficulty to fill,0.00%
Outbound Cargo,0,0.00%,30.515152,0.00%,Low difficulty to fill,-3.12%
Fortify Software Security Center (SSC),94973.080425,0.00%,31.306452,11.81%,High difficulty to fill,-50.00%
Emissions Controls,20804.525872,0.00%,32.136364,2.66%,Low difficulty to fill,-21.05%
Manure Spreaders,0,0.00%,32.04023,0.00%,Low difficulty to fill,6.25%
Global Politics,11418.930729,0.00%,32.511364,1.48%,Low difficulty to fill,0.00%
Mammalogy,0,0.00%,28.608059,0.00%,Low difficulty to fill,-6.12%
Dhivehi Language,6722.052158,0.00%,24.516484,0.64%,Low difficulty to fill,0.00%
Integrated Digital Enhanced Networks,14642.796299,0.00%,26.867925,1.55%,Low difficulty to fill,-7.69%
Gain Compression,62339.34222,0.00%,26.3125,6.43%,High difficulty to fill,0.00%
Federal Human Capital,67549.771205,0.00%,26.333333,6.97%,High difficulty to fill,-16.67%
Applitools,78209.943085,0.00%,22.903226,6.94%,High difficulty to fill,0.00%
Pesticide Safety,0,0.00%,30.264789,0.00%,Low difficulty to fill,-10.53%
AppleScript (Scripting Language),24819.614403,0.00%,26.353791,2.56%,Low difficulty to fill,-17.39%
Operating Room Management,38108.777002,0.00%,31.683099,4.80%,Medium difficulty to fill,25.00%
Audio Design,40171.142905,0.00%,30.587234,4.87%,Medium difficulty to fill,-2.13%
Microwave Plasma,49492.268641,0.00%,34.6875,6.86%,High difficulty to fill,-25.00%
Feature Selection,83065.055452,0.00%,26.934818,8.79%,High difficulty to fill,9.61%
Logstash,68777.773405,0.01%,26.815075,7.24%,High difficulty to fill,-9.40%
YAML,67635.483599,0.03%,26.438089,7.01%,High difficulty to fill,-3.22%
Musculoskeletal Injuries,29603.776404,0.01%,31.282193,3.68%,Medium difficulty to fill,-0.37%
Product Catalog Management,21273.294319,0.01%,30.077002,2.53%,Low difficulty to fill,4.66%
Damage Assessments,10009.077872,0.01%,30.098064,1.19%,Low difficulty to fill,-9.56%
Gosu (Programming Language),63592.843041,0.00%,26.113422,6.51%,High difficulty to fill,-47.69%
Program Optimization,58641.748141,0.01%,28.857337,6.68%,High difficulty to fill,-6.87%
Government Compliance Auditing,34107.798742,0.00%,34.455882,4.70%,Medium difficulty to fill,-7.14%
Argo CD,76707.770099,0.01%,28.470704,8.62%,High difficulty to fill,-4.54%
Logistics Planning,32752.756284,0.01%,30.401942,3.95%,Medium difficulty to fill,-2.59%
Serology,11024.776253,0.02%,30.00146,1.31%,Low difficulty to fill,-1.67%
Connected Devices,31234.30693,0.01%,28.327526,3.49%,Medium difficulty to fill,-2.26%
Aortic Valve Replacement,55504.093496,0.00%,29.787986,6.54%,High difficulty to fill,2.96%
Product Line Extension,44177.356539,0.00%,30.599177,5.36%,Medium difficulty to fill,8.24%
Wafer Fabrication,11513.994633,0.01%,28.933148,1.32%,Low difficulty to fill,7.23%
Cross-Examination,24994.13151,0.00%,29.785778,2.95%,Medium difficulty to fill,-0.67%
Lastpass,4385.643135,0.00%,31.371795,0.55%,Low difficulty to fill,-22.22%
Biometrics,64101.110161,0.00%,28.70122,7.26%,High difficulty to fill,-8.20%
Petty Cash,0,0.00%,31.524834,0.00%,Low difficulty to fill,10.00%
Enums,65979.752158,0.00%,21.619048,5.49%,Medium difficulty to fill,-50.00%
Lighting Design,15523.437979,0.01%,30.55192,1.88%,Low difficulty to fill,1.34%
Windows Virtual PC,28841.67146,0.00%,26.35814,2.98%,Medium difficulty to fill,7.14%
Modernizr,33627.689035,0.00%,14.611111,1.80%,Low difficulty to fill,-100.00%
Alternative Investment Strategies,71328.047973,0.00%,32.302872,9.17%,High difficulty to fill,-13.21%
Specimen Preservation,0,0.00%,29.830798,0.00%,Low difficulty to fill,-6.90%
Instron,6412.885781,0.00%,29.511364,0.75%,Low difficulty to fill,0.00%
Network Storage,52657.312438,0.02%,27.624147,5.73%,High difficulty to fill,3.08%
Binary Space Partitioning,54098.865553,0.00%,27.728041,5.91%,High difficulty to fill,4.11%
Linux Virtual Server,74213.175277,0.01%,29.119258,8.54%,High difficulty to fill,2.08%
Framing And Trim,0,0.00%,34.097432,0.00%,Low difficulty to fill,-11.19%
Veterinary Public Health,7295.440046,0.00%,28.925926,0.83%,Low difficulty to fill,0.00%
Judicial Review,10343.148052,0.00%,34.582278,1.43%,Low difficulty to fill,-6.52%
VPN Tunnels,43697.029176,0.00%,28.122314,4.84%,Medium difficulty to fill,2.17%
Desktop Sharing,0,0.00%,25.506757,0.00%,Low difficulty to fill,-13.33%
Hypertensive Emergency,28769.860094,0.00%,31.098039,3.55%,Medium difficulty to fill,-27.27%
Network On A Chip,118065.752158,0.00%,28.006098,13.03%,High difficulty to fill,0.00%
Key Frame,42999.593428,0.00%,31.775665,5.43%,Medium difficulty to fill,-19.05%
Intersystems Cache,44276.464445,0.00%,27.897638,4.87%,Medium difficulty to fill,12.50%
Server Automation,57755.842068,0.00%,26.839779,6.09%,High difficulty to fill,-11.11%
Computation Tree Logic,31961.050218,0.00%,29.638889,3.75%,Medium difficulty to fill,0.00%
Hardware Verification Language,70947.737872,0.00%,28.454435,7.96%,High difficulty to fill,-4.29%
Three.js (Javascript Library),76342.273541,0.00%,28.35443,8.54%,High difficulty to fill,0.00%
Process Lifecycle,41307.386481,0.00%,28.031974,4.56%,Medium difficulty to fill,11.86%
RESTEasy (JBoss),51819.565269,0.00%,28.861183,5.91%,High difficulty to fill,-16.00%
Body Contouring,18039.418377,0.00%,31.903614,2.29%,Low difficulty to fill,0.00%
Pharmacoeconomics,90737.23018,0.00%,31.00123,11.17%,High difficulty to fill,1.28%
Commercial Aviation,28686.616521,0.01%,29.408879,3.34%,Medium difficulty to fill,-0.32%
UI/UX Strategy,64302.585069,0.01%,28.316533,7.18%,High difficulty to fill,8.71%
Affiliate Networks,35198.137175,0.00%,30.710291,4.29%,Medium difficulty to fill,9.38%
VISI (CAD/CAM Software),0,0.00%,29.578947,0.00%,Low difficulty to fill,0.00%
Closed Loop,6411.380004,0.00%,31.780374,0.81%,Low difficulty to fill,2.94%
Herpes,5415.393354,0.00%,33.236702,0.72%,Low difficulty to fill,5.26%
Agile Auditing,52948.209143,0.00%,29.24359,6.12%,High difficulty to fill,4.54%
Statistical Thinking,68573.555944,0.00%,27.769596,7.50%,High difficulty to fill,-31.03%
Shared Web Hosting Services,0,0.00%,28.745665,0.00%,Low difficulty to fill,-7.14%
Business Process Modeling Language,61308.242417,0.00%,25.494318,6.11%,High difficulty to fill,14.29%
Project Manufacturing,25119.593604,0.00%,28.317747,2.81%,Medium difficulty to fill,-8.33%
Term Life Insurance,0,0.00%,30.355556,0.00%,Low difficulty to fill,-25.00%
Powerquery,38567.291548,0.00%,29.188615,4.45%,Medium difficulty to fill,9.00%
Oral Food Challenges,19855.08423,0.00%,32.522388,2.57%,Low difficulty to fill,6.25%
Electronic Communication Networks,10615.787872,0.00%,31.833333,1.34%,Low difficulty to fill,0.00%
Administrative Procedure Act,37181.262578,0.00%,30.169265,4.44%,Medium difficulty to fill,1.79%
Application Remediation,69847.258513,0.00%,27.413706,7.53%,High difficulty to fill,-20.83%
Young Adult Literature,0,0.00%,31.9375,0.00%,Low difficulty to fill,0.00%
NI Multisim,44382.259246,0.00%,29.953368,5.26%,Medium difficulty to fill,-4.54%
Disk Operating Systems,4120.247174,0.00%,32.508772,0.53%,Low difficulty to fill,0.00%
Radial Drill Presses,0,0.00%,30.318452,0.00%,Low difficulty to fill,-2.78%
General Practitioner,81689.454698,0.00%,30.843391,10.00%,High difficulty to fill,7.32%
Bridge Carpentry,0,0.00%,32.356164,0.00%,Low difficulty to fill,-100.00%
Scattered Castles,32098.688222,0.00%,29.952522,3.81%,Medium difficulty to fill,-18.03%
Model-Driven Software Engineering,0,0.00%,27.721429,0.00%,Low difficulty to fill,11.77%
Link Control Protocol,15425.02946,0.00%,30.203103,1.85%,Low difficulty to fill,0.00%
Thyroidectomy,42868.458604,0.00%,29.560976,5.01%,Medium difficulty to fill,6.90%
Office Ally,0,0.00%,30.675325,0.00%,Low difficulty to fill,-10.26%
Vocus (Public Relations Software),14463.777002,0.00%,32.956522,1.90%,Low difficulty to fill,-20.00%
Patrol Functions,2407.184819,0.00%,31.11215,0.30%,Low difficulty to fill,1.41%
Arthrocentesis,89352.566137,0.00%,28.75,10.14%,High difficulty to fill,10.00%
Gel Permeation Chromatography,22615.470564,0.00%,30.933649,2.78%,Medium difficulty to fill,0.00%
Merging Data,23602.917597,0.00%,28.135381,2.62%,Low difficulty to fill,13.16%
Cloudant,73095.81565,0.00%,25.818841,7.39%,High difficulty to fill,100.00%
Fuel Control Unit,10848.167602,0.00%,30.034934,1.29%,Low difficulty to fill,-13.64%
Encephalopathy,52180.355844,0.00%,30.538462,6.32%,High difficulty to fill,-3.70%
Habitat Assessment,4212.073827,0.00%,30.961659,0.52%,Low difficulty to fill,-8.33%
Underground Mining,15805.912436,0.00%,31.178161,1.96%,Low difficulty to fill,-8.67%
Opensearch,76759.813709,0.00%,28.730988,8.71%,High difficulty to fill,-6.59%
Clinical Governance,70164.838638,0.00%,29.349576,8.14%,High difficulty to fill,-11.20%
Children's Literature,0,0.00%,30.955919,0.00%,Low difficulty to fill,-10.00%
ISO/IEC 20000,56042.878833,0.00%,31.568992,7.03%,High difficulty to fill,-4.03%
Process Migration,48022.567284,0.00%,28.926606,5.49%,Medium difficulty to fill,-15.38%
Scientific Literacy,10727.607764,0.00%,30.666667,1.30%,Low difficulty to fill,3.23%
Secure Voice,29809.162181,0.00%,28.090909,3.30%,Medium difficulty to fill,2.94%
Distributed Revision Control,55742.444212,0.00%,26.804007,5.87%,High difficulty to fill,-6.48%
Template-Immunologic Techniques And Tests,1016.704539,0.00%,32.459459,0.13%,Low difficulty to fill,-100.00%
Optical Cross-Connect,7128.895015,0.00%,34.176471,0.97%,Low difficulty to fill,-100.00%
Market Garden,0,0.00%,36.921569,0.00%,Low difficulty to fill,0.00%
State Lending Regulation,6168.326334,0.00%,30.834711,0.75%,Low difficulty to fill,10.00%
AFGROW,52801.674815,0.00%,28.008547,5.83%,High difficulty to fill,-5.26%
Employment Taxes,18441.099916,0.00%,27.54886,2.00%,Low difficulty to fill,11.11%
Military Sciences,12666.562348,0.00%,30.887352,1.55%,Low difficulty to fill,-14.29%
Medical Image Analysis,42367.667085,0.00%,31.523179,5.31%,Medium difficulty to fill,-5.88%
Network Utilities,25461.250372,0.00%,28.938462,2.91%,Medium difficulty to fill,-62.50%
Thoracotomy,41451.373851,0.00%,30.280556,4.97%,Medium difficulty to fill,-3.70%
Enhanced Prudential Standards,92837.107316,0.00%,26.347222,9.59%,High difficulty to fill,-22.22%
Buildium (Property Management Software),0,0.00%,30.51487,0.00%,Low difficulty to fill,4.17%
Community Mediation,2044.632467,0.00%,31.723684,0.26%,Low difficulty to fill,0.00%
Plone,15255.519353,0.00%,33,2.01%,Low difficulty to fill,-100.00%
TestProject,43226.587872,0.00%,25.125,4.24%,Medium difficulty to fill,0.00%
Ethnic Music,4598.537872,0.00%,27.785714,0.50%,Low difficulty to fill,0.00%
Benzene,26182.974979,0.00%,30.699153,3.19%,Medium difficulty to fill,3.33%
Ethernet Hub,14795.330555,0.00%,31.45,1.85%,Low difficulty to fill,-62.50%
Common Stock,9043.336285,0.00%,30.340299,1.09%,Low difficulty to fill,4.00%
DirSync Pro,39415.561682,0.00%,26.391304,4.08%,Medium difficulty to fill,-14.29%
Stochastic Modeling,85558.700034,0.00%,28.902041,9.77%,High difficulty to fill,17.86%
Builder's Risk Insurance,33053.362218,0.00%,31.68589,4.16%,Medium difficulty to fill,-4.44%
Sulfur Hexafluoride,32197.101163,0.00%,32.111111,4.11%,Medium difficulty to fill,-16.67%
Roaming,67755.237872,0.00%,26.3,6.99%,High difficulty to fill,-50.00%
Urllib,64919.760094,0.00%,34.846154,9.05%,High difficulty to fill,0.00%
Episiotomy,37454.205614,0.00%,29.005155,4.29%,Medium difficulty to fill,-33.33%
ISO 31000 Series,63349.832265,0.00%,28.552548,7.14%,High difficulty to fill,4.17%
Psychrometers,2364.952035,0.00%,31.826291,0.30%,Low difficulty to fill,-5.00%
Roentgen,17327.886357,0.00%,30.333333,2.08%,Low difficulty to fill,-28.57%
Test Of Variables Of Attention,0,0.00%,30.766154,0.00%,Low difficulty to fill,-9.09%
Gold Mining,70934.088877,0.00%,32.542969,9.19%,High difficulty to fill,-15.38%
Carbon Graphite,0,0.00%,30.830645,0.00%,Low difficulty to fill,0.00%
SAP Administration,38648.706791,0.00%,29.384615,4.49%,Medium difficulty to fill,0.00%
Health Policy Analysis,25892.981268,0.00%,28.9375,2.96%,Medium difficulty to fill,5.00%
News Brief,182.537872,0.00%,30.975,0.02%,Low difficulty to fill,-25.00%
Autodeploy,35979.621205,0.00%,36.153846,5.21%,Medium difficulty to fill,0.00%
Hand Lettering,0,0.00%,27.424658,0.00%,Low difficulty to fill,0.00%
Spring Cloud Config,50346.307103,0.00%,26.745833,5.29%,Medium difficulty to fill,-14.29%
Reddit Ads,100444.197292,0.00%,29.228571,11.61%,High difficulty to fill,-7.14%
Contact Resistance,14479.939107,0.00%,30.465649,1.75%,Low difficulty to fill,-4.76%
Jewish Education,6118.278132,0.00%,34.438931,0.84%,Low difficulty to fill,0.00%
Boundary Spanning,24672.812066,0.00%,31.673469,3.11%,Medium difficulty to fill,-20.00%
MarinOne (Software),40241.710286,0.00%,27.795455,4.40%,Medium difficulty to fill,0.00%
Internetwork Packet Exchange (IPX),35038.032467,0.00%,26.973118,3.71%,Medium difficulty to fill,-10.00%
Transport Economics,39508.816718,0.00%,30.649123,4.80%,Medium difficulty to fill,-8.33%
Crowdsourcing,26109.727061,0.00%,28.419847,2.93%,Medium difficulty to fill,-20.00%
Turbofan,58165.932609,0.00%,28.235849,6.48%,High difficulty to fill,-33.33%
Parasoft Virtualize,42236.805314,0.00%,26.710145,4.43%,Medium difficulty to fill,0.00%
Friction Loss,14414.051957,0.00%,26.929204,1.52%,Low difficulty to fill,-7.14%
Art Portfolio,9215.238564,0.00%,31.92381,1.17%,Low difficulty to fill,0.00%
NetSuite OneWorld,59341.69361,0.00%,30.270642,7.12%,High difficulty to fill,0.00%
IBM Resilient,78419.037872,0.00%,23.592105,7.18%,High difficulty to fill,-20.00%
Block Design,61155.174858,0.00%,26.277778,6.30%,High difficulty to fill,9.09%
Contour Line,9185.892711,0.00%,30.54185,1.11%,Low difficulty to fill,13.64%
Clinical Cytogenetics,34366.967165,0.00%,30.522634,4.16%,Medium difficulty to fill,0.00%
Metadata Modeling,69400.590813,0.00%,24.836257,6.72%,High difficulty to fill,12.50%
UL 1741,43837.927443,0.00%,30.836653,5.36%,Medium difficulty to fill,-12.50%
Agresso,9239.696205,0.00%,31.379167,1.15%,Low difficulty to fill,5.00%
Retail Effectiveness,0,0.00%,28.45614,0.00%,Low difficulty to fill,0.00%
Digital Video Effect,0,0.00%,28.642857,0.00%,Low difficulty to fill,9.52%
Non-Recurring Engineering,24419.704539,0.00%,27.130435,2.60%,Low difficulty to fill,0.00%
Network Time Protocol Daemon (NTPD),30260.715291,0.00%,26.242424,3.11%,Medium difficulty to fill,-50.00%
Magnetic Ink Character Recognition,0,0.00%,24.373134,0.00%,Low difficulty to fill,-50.00%
Medical Translation,0,0.00%,30.765766,0.00%,Low difficulty to fill,0.00%
Low Pressure Hot Water,0,0.00%,29.880597,0.00%,Low difficulty to fill,-12.50%
Diversity Marketing,63696.805729,0.00%,29.148148,7.34%,High difficulty to fill,0.00%
Microbiological Culture,13392.563645,0.00%,30.266949,1.61%,Low difficulty to fill,-9.09%
Centroid,38002.250987,0.00%,28.2,4.22%,Medium difficulty to fill,0.00%
Marine Conservation,15390.08507,0.00%,30.732777,1.88%,Low difficulty to fill,3.57%
App Inventor For Android,0,0.00%,27.863636,0.00%,Low difficulty to fill,-16.67%
Viral Diseases,13124.469122,0.00%,30.448649,1.58%,Low difficulty to fill,-13.04%
Limiter,0,0.00%,29.325301,0.00%,Low difficulty to fill,0.00%
Repeated Measures Design,31116.21969,0.00%,27.354286,3.35%,Medium difficulty to fill,14.29%
Data Annotations,45467.802578,0.00%,30.15,5.43%,Medium difficulty to fill,-33.33%
Thermal Energy Storage,27009.566443,0.00%,29.653846,3.17%,Medium difficulty to fill,0.00%
Apache OpenNLP,70480.841443,0.00%,26.166667,7.23%,High difficulty to fill,-33.33%
Pain Management Nursing,47002.236345,0.00%,30.77451,5.74%,High difficulty to fill,-25.00%
Medical Symbols,0,0.00%,30.435484,0.00%,Low difficulty to fill,-16.67%
Soil Testing,0,0.00%,30.214953,0.00%,Low difficulty to fill,8.70%
Unearned Income,0,0.00%,30.52381,0.00%,Low difficulty to fill,-25.00%
Alfabet (Software),75103.701994,0.00%,23.771429,6.94%,High difficulty to fill,-100.00%
Net Interest Income,59117.401508,0.00%,32.011321,7.53%,High difficulty to fill,12.00%
Tastypie,95065.537872,0.00%,20.444444,7.44%,High difficulty to fill,0.00%
Medical Expense Performance Reporting Systems,11789.471205,0.00%,27.67619,1.28%,Low difficulty to fill,-22.22%
Cross Compiling,55630.64598,0.00%,27.113122,5.93%,High difficulty to fill,-25.00%
Laurentz Contact Resonance,17990.758302,0.00%,30.412256,2.17%,Low difficulty to fill,6.67%
Endocervical Curettage,15512.037872,0.00%,35.333333,2.19%,Low difficulty to fill,0.00%
Neutral Build,44885.589596,0.00%,26.935252,4.75%,Medium difficulty to fill,-16.67%
Core Text,58147.817442,0.00%,27.695035,6.34%,High difficulty to fill,27.27%
Internet Security Association And Key Management Protocols,50610.621943,0.00%,28.514706,5.69%,High difficulty to fill,0.00%
Persistent Memory,82190.537872,0.00%,29.888889,9.73%,High difficulty to fill,0.00%
Oppositional Defiant Disorder,0,0.00%,33.394286,0.00%,Low difficulty to fill,0.00%
C Mathematical Functions (C Standard Library),0,0.00%,31.983871,0.00%,Low difficulty to fill,-33.33%
Buildbot,72670.733524,0.00%,27.709302,7.93%,High difficulty to fill,100.00%
Hierarchical Database Model,57390.07013,0.00%,34.044944,7.80%,High difficulty to fill,-62.50%
Enhanced External Counterpulsation,5997.805549,0.00%,29.572093,0.70%,Low difficulty to fill,3.85%
Cloud Data Management Interface,58478.037872,0.00%,29,6.70%,High difficulty to fill,0.00%
Word-Sense Disambiguation,93668.422487,0.00%,37.333333,14.04%,High difficulty to fill,-100.00%
