Skills_Label,Growth Category,Mid Scenario
Bit Manipulation,,
Diamond Blade,,
Laminated Object Manufacturing,,
Autofill,,
Clang,,
Greendao,,
Kerkythea,,
Mainsail,,
Entitymanager,,
SAP Contract Lifecycle Management,,
Email Hacking,,
NetDynamics Application Server,,
Solvent Effects,,
Lifeboat,,
Multiprocessor DSP (MDSP),,
VLAN Hopping,,
C Sharp Syntax,,
Photometry,,
NetObjects Fusion,,
Sdwebimage,,
Stdin,,
Nero Burning ROM,,
Land Acquisition Act,,
Multiphase Flow Meter,,
Nitrosomonas,,
BusinessObjects OLAP Intelligence,,
Digital Polymerase Chain Reaction,,
MSN Internet Access,,
Iridology,,
Linear Encoder,,
Microsoft Mobile Internet Toolkit,,
Software As A Service (SaaS),Rapidly Growing,14.33%
Selling Techniques,Lagging,-6.45%
Purchasing,Growing,-1.47%
Python (Programming Language),Rapidly Growing,3.63%
Occupational Safety And Health,Growing,2.74%
Jenkins,Growing,1.41%
Marketing Operations,Stable,1.65%
Study Skills,Lagging,-2.14%
On-The-Job Training,Stable,-5.37%
Information Systems Security,Lagging,2.01%
Wireless Networks,Growing,0.97%
Electrical Engineering,Rapidly Growing,-0.03%
Environmental Science,Growing,0.97%
Surgical Procedures,Lagging,-4.03%
Managed Care,Growing,0.39%
Lean Manufacturing,Growing,9.26%
Statistical Analysis,Growing,0.03%
Stock Keeping Unit,Growing,5.34%
Suspicious Activity Report,Lagging,0.56%
TIBCO Businessworks,Lagging,-10.00%
Identifying Leads,Lagging,-0.79%
Customer Success Management,Growing,5.35%
Journals,Growing,2.36%
Medical Imaging,Stable,2.55%
ServiceNow,Rapidly Growing,-5.48%
Materials Management,Growing,-0.96%
Bokeh,Growing,-18.52%
Process Design,Growing,0.21%
Industrial Security,Growing,1.92%
Secondary Education,Stable,-5.79%
Public Service,Rapidly Growing,-1.69%
Computer Aided Engineering (CAE),Stable,1.28%
Software Development Life Cycle,Growing,5.91%
Social Media Marketing,Growing,-2.79%
Static Program Analysis,Lagging,4.88%
CSS Animations,Rapidly Growing,11.11%
Object-Oriented Analysis And Design,Stable,1.36%
Tax Credits,Growing,-4.81%
Branding,Growing,10.47%
Data Item Descriptions,Growing,12.73%
Enterprise Application Integration,Growing,3.43%
Dog Training,Growing,2.77%
Asynchronous Javascript and XML (AJAX),Growing,9.98%
CMake,Stable,3.58%
Infrastructure As A Service (IaaS),Growing,5.27%
Cannula,Lagging,-2.96%
Video Home System (VHS),Lagging,-2.52%
Artistic Development,Stable,-3.03%
Standards Organization,Stable,-4.10%
Endocrinology,Lagging,-2.09%
Flow Process Chart,Growing,4.58%
System On A Chip,Stable,0.44%
Pallet Building,Lagging,1.52%
Dental Plaque Removal,Lagging,-5.50%
Cash Receipts Journals,Growing,-5.31%
Environmental Engineering,Rapidly Growing,5.00%
Kiosk Software,Rapidly Growing,0.00%
Welding Symbols,Lagging,-5.05%
Know Your Customer,Stable,3.78%
Tax Equalization,Rapidly Growing,11.77%
Rich Ui,Rapidly Growing,-3.85%
Automatic Temperature Control Systems,Lagging,-16.67%
Machine Learning Algorithms,Growing,3.11%
Neuropsychological Assessments,Rapidly Growing,7.48%
Transport Layer,Stable,-3.36%
Applied Physics,Growing,7.82%
Property Maintenance,Stable,-2.09%
Artifactory,Growing,7.65%
Ad Hoc Analysis,Stable,1.32%
Software Documentation,Growing,-1.00%
Digital Signal Processing,Growing,6.14%
Host Based Security System (HBSS),Growing,2.88%
Functional Process,Lagging,1.22%
Customer Acquisition Management,Lagging,-2.70%
Puppet (Configuration Management Tool),Growing,7.48%
Medical Coding,Lagging,0.76%
Lifting Equipment,Stable,6.69%
Human Relations Movement,Stable,-1.78%
Advanced Analytics,Growing,2.74%
Submittals (Construction),Growing,5.06%
Bootstrap (Front-End Framework),Growing,3.69%
Transportation Management Systems,Lagging,-5.15%
Text Mining,Stable,-0.44%
Bulk Material Handling,Growing,-3.31%
Pyspark,Growing,-1.05%
Magnetic Resonance Imaging,Stable,4.66%
Claims Processing,Stable,1.83%
Financial Technology (FinTech),Growing,9.14%
ADP Payroll,Lagging,-5.38%
Food Chemistry,Stable,-1.19%
Building Inspections,Lagging,0.92%
RELAP5-3D,Growing,-11.77%
Energy Policy Analysis,Rapidly Growing,0.00%
HVAC Controls,Rapidly Growing,-2.28%
Economic Analysis,Lagging,-2.66%
Shell Script,Stable,5.12%
Masonry,Stable,1.48%
Query Languages,Lagging,-4.20%
Marketing Analytics,Growing,13.56%
Immigration Law,Growing,0.40%
NoSQL,Growing,5.24%
Key Risk Indicator,Lagging,1.56%
Business Coaching,Lagging,-2.96%
Settlement,Stable,1.31%
Environmental Policy,Stable,2.18%
Cardiac Stress Testing,Lagging,1.05%
Moz (SEO Software),Stable,1.52%
Gramm-Leach-Bliley Act,Stable,5.15%
Customer Information Control System (CICS),Lagging,1.48%
Aerospace Materials,Lagging,0.67%
Job Scheduling (Inventory Management),Stable,-1.67%
Field-Programmable Gate Array (FPGA),Growing,8.97%
Quantization,Stable,2.94%
Spectroscopy,Stable,-1.42%
Prescriptive Analytics,Lagging,-3.49%
Communication Strategies,Growing,-3.02%
Dispute Resolution,Growing,-3.49%
Security Strategies,Stable,-2.66%
Apache Ant,Growing,0.55%
Transformer (Machine Learning Model),Growing,9.49%
Catering Arrangements,Growing,-2.82%
Operations Analytics,Stable,3.86%
Performance-Based Budgeting,Lagging,-1.27%
Neurosurgery,Stable,-2.60%
Medical Insurance Claims,Growing,0.06%
Limited Liability,Lagging,1.64%
Ansys Simulation Software,Growing,4.19%
Stretch Wrapping,Lagging,0.00%
Psychosocial Development,Lagging,-4.72%
SAP Knowledge Warehouse,Growing,-0.36%
Instant Messaging,Stable,-2.64%
Timing Diagrams,Rapidly Growing,13.33%
Presentation Layer,Lagging,-17.33%
Microservices Development,Stable,-2.33%
Internal Control System,Stable,5.41%
Fifth Wheel Coupling,Growing,0.73%
TurboTax,Rapidly Growing,-97.26%
Storage As A Service (STaaS),Rapidly Growing,-16.67%
Legal Technology,,
Airwatch,Lagging,-1.69%
Data Presentation,Stable,7.00%
Project Files,Stable,5.77%
Android UI,Stable,-15.87%
Blazor,Growing,4.69%
Applied Linguistics,Lagging,-7.79%
Algorithmic Trading,Stable,2.33%
Green Hills Integrity,Growing,-6.90%
Dozer,Growing,-7.11%
Dichotomous Key,Growing,-25.00%
Gender Studies,Lagging,-3.18%
Drug Interaction,Lagging,-1.05%
Sharpening,Lagging,-9.25%
Federal Insecticide Fungicide And Rodenticide Act,Growing,4.17%
Bank Statements,Growing,3.30%
SAP BI Accelerator,Stable,3.61%
Mass Emails,Growing,-2.74%
Citrix ShareFile,Stable,-0.98%
Queueing Theory,Growing,0.00%
Web Accessibility,Growing,7.34%
Disc Jockey,Growing,-12.50%
Pattern Matching,Growing,-7.14%
Primary Health Care,Lagging,-2.82%
Support Vector Machine,Stable,-6.07%
Native Code,Growing,16.67%
Virtual Private Servers,Lagging,-10.45%
ICD 503,Lagging,-18.51%
Fashion Design,Growing,-8.39%
Offshoring,Lagging,-13.33%
Gaskets,Stable,-2.78%
Snort (Intrusion Detection System),Lagging,-0.65%
Passenger Information,Lagging,-4.72%
Company Structure,Stable,1.61%
Logic Systems,Stable,8.05%
Blogger (Service),Rapidly Growing,8.00%
Continuous Renal Replacement Therapy,Rapidly Growing,4.27%
Sinon,Rapidly Growing,-10.35%
Microsoft Message Queuing,Lagging,-5.88%
Endoscopic Ultrasound,Growing,2.94%
Bank Internal Auditing,Rapidly Growing,12.20%
Oxy-Fuel,Growing,-15.79%
Bayesian Statistics,Growing,4.71%
Soap Note,Lagging,-3.86%
Command-Query Responsibility Segregation (Software Development),Lagging,2.82%
Tunnel Design,Growing,0.00%
Atmospheric Modeling,Rapidly Growing,4.54%
Pavement Engineering,Stable,-6.25%
Chromecast,Rapidly Growing,-25.00%
Policy Evaluation,Stable,-7.17%
Public Transport,Lagging,-26.43%
Aspect-Oriented Programming,Growing,-1.99%
Electrical System Design,Lagging,2.43%
Hardware Design,Growing,2.87%
CNC Machining,Rapidly Growing,-7.81%
Ice Hockey,Lagging,-6.67%
Federal Reserve System,Growing,0.87%
Design Specifications,Growing,0.96%
Spring Boot,Growing,-3.33%
Payroll Administration,Growing,-10.72%
Medication Monitoring,Growing,-3.02%
Documentation Based Coding,Stable,0.00%
Aluminum Welding,Growing,4.17%
Learning and Development Programs and Policies,,
Cardiothoracic Intensive Care,Lagging,-3.91%
Stereopsis,Stable,-3.53%
Phenotyping,Stable,-2.66%
Settlement Negotiation,Growing,-4.76%
Psychosocial Assessments,Growing,-0.27%
Instructional Strategies,Rapidly Growing,-9.65%
Metal Fabrication,Growing,3.00%
Breast Imaging,Lagging,0.00%
Employee Surveys,Lagging,-30.45%
Electric Power Transmission,Growing,-3.58%
Turbines,Rapidly Growing,-10.64%
Export Declarations,Lagging,-7.25%
Dispatch Coordination,Lagging,-3.42%
Environmental Simulations,Stable,0.00%
Signal Processing,Stable,6.16%
Metabolic Diseases And Disorders,Lagging,-0.63%
Wedding Reception,Lagging,-5.95%
Contract Finalization,Growing,2.83%
Heterophile Antibody Tests,Growing,5.26%
Database Queries,Growing,6.29%
Emotional And/Or Behavioral Disability,Lagging,-3.89%
Wire Wrap,Stable,-12.50%
People Services,Lagging,-14.05%
Composite Materials,Stable,-0.24%
Sketching,Growing,2.22%
Air Conditioning Repair,Growing,4.95%
Mastectomy,Stable,-1.04%
Scheme (Programming Language),Growing,6.85%
Bioorganic Chemistry,Lagging,-36.36%
Cross-Linked Polyethylene,Growing,-5.41%
Girders,Stable,1.25%
Hardware Stores,Growing,-7.84%
Google Cloud Dataproc,Lagging,0.00%
Thermal Analysis,Stable,6.25%
Federal Emergency Management Agency (FEMA),Lagging,0.73%
SkyJack,Growing,-4.54%
Vendor Performance Monitoring,Lagging,-6.07%
Mortgage Loan Closing,Growing,-26.19%
Manual Handling,Lagging,-2.76%
Sterile Products,Growing,-1.48%
Special Education Law,Rapidly Growing,-11.75%
Displacement (Fluid),Rapidly Growing,-7.29%
Forest Protection,Growing,-6.25%
Cardiopulmonary Rehabilitation,Stable,-2.00%
DeltaV Distributed Control System,Lagging,-5.25%
SAP Configuration,Lagging,0.53%
Vibration Isolation,Rapidly Growing,-8.82%
Debt Compliance,Growing,-5.94%
Yeoman Generator,,
Ultraviolet-Visible Spectroscopy (UV/VIS),Stable,-2.75%
COSO Framework,,
Amino Acids,Growing,4.54%
Category Growth,Lagging,2.90%
Private Equity Fund,Stable,-5.93%
Mercurial,Rapidly Growing,22.22%
High-Frequency Ventilation,Lagging,-1.54%
Wooden Structures,Lagging,-1.93%
PROFINET Standards,Growing,-0.36%
Patient Progress Notes,Lagging,4.78%
Pneumatic Valve Springs,Stable,-37.50%
Institutional Knowledge,,
Cash Accountability,Lagging,-11.39%
Aftersales,Lagging,-31.47%
Sales Receipts,Lagging,2.41%
Segment Architecture,Stable,-10.00%
Robotic Programming,Growing,10.24%
IWork,Stable,-15.04%
Addiction Medicine,Lagging,-6.30%
Java 8,Stable,2.16%
Hateoas,Rapidly Growing,100.00%
Information Technology Security Auditing,Growing,4.45%
Positive End-Expiratory Pressure,Growing,-11.21%
Social Movements,Growing,2.70%
Constipation,Rapidly Growing,-26.83%
Discipleship,Growing,-13.55%
Architectural Development,Growing,2.94%
Network Automation,Stable,3.71%
Genetic Mutations,Lagging,1.27%
Child Cardiopulmonary Resuscitation (CPR),Stable,4.23%
Cultural Resource Management,Growing,-3.91%
Health Screenings,Stable,7.38%
Technology Research,Lagging,2.33%
Inflammatory Bowel Disease,Growing,5.70%
Electric Generators,Lagging,-6.74%
Glass Installation,Lagging,2.66%
Door Security,Stable,2.90%
Multiple-Input And Multiple-Output (MIMO),Stable,-3.26%
EPANET,Lagging,-28.57%
Vector Graphics Editor,Lagging,-4.91%
Tenant Improvements,Lagging,-3.37%
Mechanical Seals,Growing,-8.62%
Cervical Cerclage,Rapidly Growing,-12.50%
Key Control,Lagging,-3.53%
Business Diversification,Growing,5.56%
Fluentd,Rapidly Growing,5.00%
Cloud Administration,Growing,6.77%
Adobe Experience Cloud,Growing,6.62%
Network Sockets,Stable,0.73%
Medical Strategy,Stable,-4.86%
Farm Management,Growing,-0.81%
Alternative Education,Lagging,-11.25%
Interest Rate Swap,Growing,3.28%
Anti-Bribery And Corruption,Growing,14.99%
Nuclear Design,Growing,-10.71%
Youth Activities,Lagging,-5.12%
Gainsight,Stable,2.94%
Reading Intervention,Lagging,-12.14%
Partnership Accounting,Growing,6.67%
Code Testing,Stable,-8.38%
Plasma Arc Welding,Rapidly Growing,-7.44%
Otoscopes,Stable,0.76%
Trigger Point,Stable,1.25%
GIAC Intrusion Prevention,Lagging,0.00%
Theano (Software),Stable,-52.63%
Advanced Case Management,Growing,0.00%
TeamViewer,Growing,-2.17%
Human Interface Guidelines,Growing,8.43%
Print Advertising,Lagging,-12.63%
Thermodynamic Systems,Growing,-18.18%
Map Production,Growing,-1.27%
Radio Operations,Lagging,-14.00%
Removable Appliances,Lagging,-18.72%
Mineral Processing,Rapidly Growing,-0.65%
Innate Immunity,Growing,-2.22%
Aerobic Kickboxing,Growing,-13.33%
Value At Risk (VaR),Growing,3.12%
Satellite Imagery,Lagging,0.00%
Exome Sequencing,Growing,-100.00%
Circadian Rhythm,Stable,-4.54%
Oracle Hyperion Reporting,Lagging,-9.52%
Multiple Axes,Lagging,-62.50%
AntiFreeze,Growing,6.52%
Public Disclosure,Rapidly Growing,-9.38%
Protein-Protein Interactions,Growing,9.26%
Aircraft Design,Stable,-4.76%
Information Mapping,Growing,-21.57%
Antimicrobial Resistance,Rapidly Growing,9.72%
3D Computer Graphics Software,Growing,7.69%
Geospatial Databases,Stable,2.49%
Fieldbus,Growing,7.22%
Risk Register,Stable,-4.63%
SAS/STAT,Growing,-7.87%
Menu Costing,Lagging,-13.71%
Self Injury Intervention,Stable,5.56%
Non-Discrimination Testing,Stable,2.86%
Bilirubin,Stable,5.56%
CryEngine,Lagging,-14.29%
Google+,Rapidly Growing,16.43%
Drug Resistance,Stable,5.36%
Smarty,Lagging,-23.91%
Atmospheric Dispersion Modeling,Growing,-6.62%
Fisheries Management,Stable,0.60%
Trace Element,Stable,-13.04%
Parts Manufacturer Approval,Rapidly Growing,25.00%
Customs Procedures,Stable,-4.69%
DSS / Defense Central Index Of Investigations,Lagging,-8.33%
Tridium/Niagara Framework,Growing,-7.25%
Geospatial Datasets,Growing,6.98%
Community Resilience,Stable,5.29%
Design Brief,Lagging,-6.45%
Statements On Auditing Standards,Rapidly Growing,100.00%
OpenLayers,Growing,3.12%
Master Promissory Note,Growing,5.80%
Computer-Assisted Language Learning,Stable,3.90%
Continuous Miners,Rapidly Growing,-27.27%
Arbor Press,Growing,-5.97%
Apache Thrift,Rapidly Growing,-8.00%
Java Batch,Rapidly Growing,20.00%
Lateral Flow Testing,Stable,-2.63%
Profit Center Accounting,Growing,1.56%
Reflow Soldering,Rapidly Growing,0.00%
ISO 10993 Standard,Lagging,-4.00%
Vanity Installation,Growing,0.00%
Floriculture,Stable,-6.45%
Signaling Systems,Rapidly Growing,-21.43%
Shipment Sorting,Rapidly Growing,0.00%
Paratransit,Rapidly Growing,-8.00%
Multi-Link Point-To-Point Protocol,Growing,-36.36%
Budtending,Growing,-12.00%
Nanofabrication,Growing,-1.45%
External Fixation,Stable,-28.57%
Context Switch,Growing,3.00%
Remote Direct Memory Access,Lagging,-17.14%
Vibratory Finishing,Lagging,-25.00%
Code Insight,Rapidly Growing,-100.00%
SAS Business Intelligence (BI),Growing,5.56%
Ongoing Reliability Tests,Growing,-2.38%
Public Key Cryptography Standards (PKCS),Rapidly Growing,14.29%
EPiServers,Growing,-17.86%
EnCase (Digital Intelligence Software),Lagging,-4.97%
Agricultural Sales,Growing,10.00%
Sclerotherapy,Lagging,5.20%
Database As A Service (DBaaS),Growing,15.52%
ISO 8583 Standard,Growing,-3.33%
Candidate Genes,Growing,-7.14%
Graphic And Intelligence Based Script Technology (GIST),Growing,-23.53%
Electrostatic Precipitator,Lagging,-25.00%
Stock Photography,Lagging,1.30%
Non-Relational Data Stores,Growing,0.00%
Field Capacity,Lagging,-32.50%
JDA Fulfillment,Rapidly Growing,0.00%
Ghostwriting,Growing,4.00%
Retinal Degeneration,Lagging,-20.00%
Surgical Staple,Stable,-21.43%
Image Sensor,Stable,-10.20%
Smart Grid,Growing,4.84%
Sustainable Architecture,Rapidly Growing,6.67%
IBM Sametime,Lagging,-38.89%
Traditional Chinese Medicine,Stable,2.70%
Igraph,Rapidly Growing,100.00%
Machine Gun,Lagging,0.00%
Surface Plasmon Resonance,Growing,10.00%
Bioterrorism Preparedness And Response,Rapidly Growing,0.00%
Memory Controller,Rapidly Growing,21.43%
Previsualization,Rapidly Growing,0.00%
Contingency Fund,Rapidly Growing,12.50%
Luxembourgish Language,Rapidly Growing,-100.00%
Altera Quartus,Growing,-18.52%
Cryptographic Log On,Lagging,0.00%
Self Checkout,Growing,12.23%
UI Components,Growing,-1.12%
Requirement Prioritization,Stable,-0.72%
Military Standards And Specifications,Growing,-1.21%
Knowledge Graph,Growing,1.41%
Composites,Stable,4.21%
Internet Hosting Service,Growing,6.94%
IT Change Management,Stable,-67.42%
Mass Spectrometry,Growing,8.08%
Continuing Legal Education,Rapidly Growing,-1.37%
Scaling And Root Planing,Lagging,-8.57%
Ocular Pathology,Growing,0.00%
X-Ray Fluorescence,Lagging,3.28%
System Modification Program/Extended (SMP/E),Growing,-100.00%
Time Horizon,Stable,0.00%
Pistons,Stable,-2.30%
Feedback Control,Growing,0.00%
Fiber-Optic Communications,Growing,0.00%
Manual Muscle Testing,Growing,-10.00%
Praxis EMR (Electronic Medical Record System),Growing,-18.84%
Oromo Language,Growing,-8.33%
Failure Reporting Analysis And Corrective Action Systems,Growing,8.44%
Extensible Messaging And Presence Protocol (XMPP),Rapidly Growing,25.00%
Jbehave,Growing,-1.30%
PA X-Rays,Rapidly Growing,-12.50%
Human Trafficking Issues,Growing,-2.44%
Body Substance Isolation,Rapidly Growing,8.39%
Sharps Disposal,Lagging,-1.13%
Regular Functions,Growing,10.35%
Load Shedding,Growing,9.68%
Apache Archiva,Rapidly Growing,-100.00%
Design Portfolio,Stable,3.00%
Application Release Automation,Rapidly Growing,4.71%
OpenSceneGraph,Growing,7.08%
Digital Image,Growing,3.57%
Financial Aid Management,Growing,-5.00%
SAP Fiori,Stable,1.32%
Toilet Installation,Growing,10.71%
Recreational Vehicles,Lagging,-9.20%
Rhel5,Growing,-16.67%
Safety Mechanisms,Rapidly Growing,7.55%
ICEfaces,Rapidly Growing,-100.00%
Marine Insurance,Growing,3.92%
Viscometer,Lagging,-1.63%
Regenerative Agriculture,Lagging,-1.11%
Motor Soft Starter,Rapidly Growing,-11.34%
Condensed Matter,Lagging,-10.67%
CMS-1500 Forms,Rapidly Growing,-53.33%
Azkaban,Growing,-79.31%
Human Performance Evaluation,,
Foglight (Database Software),Rapidly Growing,-4.35%
Development Economics,Growing,1.92%
Interventional Neurology,Growing,5.71%
Barge Landings,Lagging,-100.00%
Emission Standards,Growing,9.52%
Biorefinery,Lagging,-12.50%
Microsoft Silverlight,Rapidly Growing,21.43%
Open Access,Growing,-11.11%
Energy Efficiency Services,Stable,-7.69%
Multilevel Model,Growing,-4.76%
Oracle Marketing Cloud,Rapidly Growing,0.00%
Identity Design,Growing,5.56%
Hamcrest,Rapidly Growing,0.00%
Counter-Unmanned Aerial Systems (C-UAS),Lagging,0.00%
Time-Domain Reflectometer,Rapidly Growing,-5.56%
Electropolishing,Rapidly Growing,12.50%
RF Modulator,Rapidly Growing,33.33%
FoxPro,Rapidly Growing,16.67%
Program Protection Plans,Stable,0.82%
Silicon Carbide,Rapidly Growing,4.54%
IBM Microprocessors,Growing,-18.18%
Heliophysics,Rapidly Growing,2.94%
Behavioral Change Theories,Lagging,-4.25%
Cryogenics,Stable,0.00%
Soil Morphology,Rapidly Growing,0.00%
SAP Production Planning,Growing,1.18%
Dial Calipers,Growing,-2.37%
Database Engine Tuning Advisor,Growing,-8.33%
Target Behavior,Stable,6.03%
Aura Framework,Stable,2.54%
Speech Analytics,Growing,-1.52%
Personal Representative,Growing,10.00%
Soil Liquefaction,Lagging,-100.00%
Waste Disposal Systems,Growing,-19.23%
Bazel,Growing,8.86%
Harvard Graphics,Rapidly Growing,-25.00%
Interactivity,Rapidly Growing,100.00%
Item Response Theory,Rapidly Growing,-2.42%
Digital Indicators,Lagging,-9.09%
Geophysical Instruments,Growing,-27.78%
Winshuttle (RPA Software),Growing,2.13%
Biginsights,Lagging,-66.67%
AWS X-Ray,Stable,4.54%
Java Application Server,Lagging,-6.67%
Unicast,Stable,-5.56%
Sabre Saw,Lagging,-6.25%
Monitoring Road Conditions,Lagging,-17.24%
Mixed Signal Oscilloscopes,Rapidly Growing,50.00%
Pulmonary Fibrosis,Lagging,-7.14%
Orbital Welding,Rapidly Growing,-7.84%
Personality Psychology,Stable,-10.00%
Blood Collection Kits,Lagging,-28.57%
Health Management Information Systems,Rapidly Growing,0.00%
Text Manipulation,Rapidly Growing,-16.67%
Dynamic Random-Access Memory,Rapidly Growing,0.00%
Technology Alignment,Growing,13.64%
AWS Directory Service,Rapidly Growing,-7.14%
ComputerRx (Pharmacy Management Software),Stable,-15.38%
Current Probes,Growing,7.41%
Intuitive Navigation,Lagging,-16.28%
SAP Supplier Relationship Management (SAP SRM),Growing,5.26%
EclipseLink,Rapidly Growing,-50.00%
Fastify,Rapidly Growing,25.00%
HTML Abstraction Markup Language,Rapidly Growing,-75.00%
Context Analysis,Growing,-10.71%
Robotic Liquid Handling Systems,Rapidly Growing,6.67%
Sysomos (Social Listening Tool),Growing,-11.11%
Demand Chain Management,Growing,0.00%
Physical Optics,Growing,-8.00%
Middle Eastern Studies,Growing,9.09%
YARA (Software),,
Network Encryption,Rapidly Growing,4.00%
Risk-Based Capital,Growing,0.00%
Community Development Planning,Growing,-2.78%
Submersible Pump,Rapidly Growing,-38.89%
Transceiver,Rapidly Growing,9.38%
Web Cache Communication Protocols,Growing,3.57%
Repetitive Control,,
Boundary-Value Analysis,Rapidly Growing,50.00%
Base Stations,Growing,-20.00%
MassLynx,Rapidly Growing,18.18%
Gephi,Growing,0.00%
Link Layer,Rapidly Growing,-20.00%
Public Survey,Rapidly Growing,0.00%
Reference Implementation,Rapidly Growing,15.79%
Transcription (Genetics),Rapidly Growing,-46.67%
Technical Data Management Systems,Rapidly Growing,-100.00%
Mine Warfare,Stable,-16.67%
ExtendSim,Rapidly Growing,25.00%
DupeBlocker,Rapidly Growing,-20.00%
User Account Policies,Stable,-10.71%
Multipath Propagation,,
Jdom,Growing,-16.67%
Anti-Lock Braking Systems,Lagging,-12.77%
Randomization Test,Lagging,0.00%
ISO 22000 Standard,Growing,-6.67%
Current Sensor,Rapidly Growing,-7.14%
Microsoft Search Servers,Growing,-22.22%
Scaffold Building,Growing,-6.25%
Nuclear Technology,Rapidly Growing,-3.23%
Warranty Deed,Rapidly Growing,0.00%
Business Activity Monitoring,Rapidly Growing,0.00%
Data Language Interface,Lagging,-25.00%
Telematic Control Unit,Lagging,-25.00%
Photometer,Stable,0.00%
Pathfinder,Lagging,-11.11%
Oracle Big Data,Rapidly Growing,42.86%
Hosted Exchange,Rapidly Growing,-13.33%
Visitor Location Register (VLR),Growing,-14.29%
Tubal Reversal,Lagging,-50.00%
Engine Management Systems,Lagging,-19.23%
Parasoft SOAtest,Rapidly Growing,-100.00%
Assamese,Lagging,-50.00%
Authentication Servers,Growing,0.00%
Spell Checking,Growing,0.00%
Natural Hazard Mitigation,Rapidly Growing,0.00%
Swaging,Growing,-16.67%
Total Return Swap,Rapidly Growing,-100.00%
Slovenian Language,Lagging,-12.50%
Pregnancy Options Counseling,Rapidly Growing,14.29%
Disk Defragmentation,Rapidly Growing,-16.67%
Blastocysts,Growing,-50.00%
Prenatal Genetics,Rapidly Growing,0.00%
Jasperserver,Lagging,0.00%
Java Business Process Management,Growing,-10.00%
Solar Water Heating,Growing,0.00%
Concrete Breakers,Rapidly Growing,0.00%
African Dances,Growing,0.00%
HR Scorecard,Rapidly Growing,0.00%
Market Value Added,Rapidly Growing,-40.00%
Mitre Box,Growing,-6.25%
Remote Administration Software,Rapidly Growing,0.00%
Parallel Patterns Library,Rapidly Growing,0.00%
Sanskrit,,
Tritium,Rapidly Growing,4.54%
MicroStrategy Desktop,Rapidly Growing,-25.00%
Deconvolution,Growing,8.33%
Shear Strength,Rapidly Growing,-22.22%
Background Debug Mode,Lagging,0.00%
Engineering Procurement Construction Estimating,Growing,0.00%
Obstacle Avoidance,Growing,-28.57%
Times Interest Earned,Rapidly Growing,0.00%
Video Cassette,Lagging,-30.30%
MaxDB,Rapidly Growing,-28.57%
Web Browser Engine,Rapidly Growing,-5.26%
Global File System,Rapidly Growing,-75.00%
VMware VMFS,Lagging,-12.50%
Asset Analytics,Rapidly Growing,0.00%
Matrix Factorization,Lagging,-16.67%
Sintering,,
TeamQuest,Rapidly Growing,-50.00%
GoToMyPC,Rapidly Growing,33.33%
Zipline,Rapidly Growing,11.11%
Microsoft Operations Manager,Lagging,-75.00%
Xajax,,
Electronic Bank Account Management (EBAM),Rapidly Growing,0.00%
Apache POI,Growing,9.52%
Tablespace,Stable,-11.11%
Collaborative Innovation Networks,Rapidly Growing,0.00%
Abdominal Trauma,Growing,-28.57%
CartoDB,Rapidly Growing,-50.00%
Frequency Allocation,Lagging,-30.00%
Hydrogenation,Growing,-10.00%
ISO 11783,Rapidly Growing,0.00%
User Customization,Lagging,-100.00%
Vertical Integration,Lagging,0.00%
Symmetrix,Growing,-10.00%
Layer 2 Tunneling Protocol Version 3 (L2TPv3),Rapidly Growing,100.00%
Facsimile Transmission,Lagging,-16.67%
IBM Aggregate Backup And Recovery Systems,Lagging,-50.00%
Iodine Value,Rapidly Growing,-100.00%
Constraint Layout,Rapidly Growing,50.00%
Hula (Dance),,
C++/CLI,Lagging,-5.00%
Traffic And Revenue (T&R) Studies,,
Differential Evolution,,
UClinux,Lagging,-100.00%
Online Hotel Reservations,Rapidly Growing,-100.00%
Strict Liability,,
Basic Military Training,Lagging,-33.33%
Multi-Generator,Lagging,-100.00%
Annual Salary Increase Process,Rapidly Growing,-20.00%
Corporate Entrepreneurship,Rapidly Growing,0.00%
Session Beans,Stable,-15.38%
Aviation Meteorology,Lagging,-16.67%
Atmega,,
Hydrocarbon Accounting,Rapidly Growing,-33.33%
Overselling,Lagging,-100.00%
Optical Mapping,Rapidly Growing,0.00%
Aviation Cyber Security,Growing,0.00%
GluonNLP,,
Framebuffer,,
Reaction Injection Molding,Lagging,-33.33%
Electrophoretic Mobility Shift Assays,,
Zeroheight (Software),,
Openbugs,,
IxLoad (Network Testing Tool),Lagging,-50.00%
Baan Reports,,
Gene Ontology,Rapidly Growing,0.00%
Adjustable Gastric Band,,
TTCN (Programming Language),,
Reaxys,Rapidly Growing,20.00%
S-Corp Returns,Rapidly Growing,0.00%
Schwann Cell,Lagging,0.00%
Base Address,Rapidly Growing,-100.00%
Event Tracing (Software),Rapidly Growing,-100.00%
Simulated Annealing,Rapidly Growing,-66.67%
Image Conversion,Rapidly Growing,0.00%
Unix System V,Rapidly Growing,0.00%
Retail Intelligence,Lagging,-17.65%
Ancient Philosophy,Lagging,-50.00%
Siebel EIM,Rapidly Growing,0.00%
Thematic Apperception Tests,Lagging,-66.67%
ICMPv6,Rapidly Growing,100.00%
Nmrpipe,,
StyleCop,Lagging,0.00%
Engagement Skills Trainer,Lagging,-50.00%
International Ethics,Lagging,-66.67%
Magnetic Flux Leakage,Lagging,-100.00%
Autoignition Temperature,,
Border Studies,Rapidly Growing,-50.00%
Interoperation,,
